Plot Title: Savoy-Discharge,,,
#,"Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 10559467, SEN S/N: 10559467)","Temp, °F (LGR S/N: 10559467, SEN S/N: 10559467)"
1,05/15/23 02:18:31 PM,10.3,83.93
2,05/15/23 02:18:32 PM,4.2,83.95
3,05/15/23 02:18:33 PM,10.3,83.97
4,05/15/23 02:18:34 PM,4.2,83.97
5,05/15/23 02:18:35 PM,4.2,84
6,05/15/23 02:18:36 PM,4.2,84
7,05/15/23 02:18:37 PM,10.3,84
8,05/15/23 02:18:38 PM,4.2,84
9,05/15/23 02:18:39 PM,3.9,84
10,05/15/23 02:18:40 PM,10.3,84.02
11,05/15/23 02:18:41 PM,10.3,84.04
12,05/15/23 02:18:42 PM,10.3,84.07
13,05/15/23 02:18:43 PM,34.1,84.09
14,05/15/23 02:18:44 PM,3.9,84.09
15,05/15/23 02:18:45 PM,10.3,84.09
16,05/15/23 02:18:46 PM,3.9,84.11
17,05/15/23 02:18:47 PM,3.9,84.11
18,05/15/23 02:18:48 PM,3.9,84.13
19,05/15/23 02:18:49 PM,10.3,84.13
20,05/15/23 02:18:50 PM,3.9,84.16
21,05/15/23 02:18:51 PM,10.3,84.2
22,05/15/23 02:18:52 PM,34.1,84.34
23,05/15/23 02:18:53 PM,10.3,84.29
24,05/15/23 02:18:54 PM,4.2,84.27
25,05/15/23 02:18:55 PM,4.2,84.27
26,05/15/23 02:18:56 PM,10.3,84.27
27,05/15/23 02:18:57 PM,10.3,84.25
28,05/15/23 02:18:58 PM,34.1,84.29
29,05/15/23 02:18:59 PM,3.9,84.29
30,05/15/23 02:19:00 PM,10.3,84.29
31,05/15/23 02:19:01 PM,4.2,84.29
32,05/15/23 02:19:02 PM,10.3,84.33
33,05/15/23 02:19:03 PM,3.9,84.33
34,05/15/23 02:19:04 PM,10.3,84.27
35,05/15/23 02:19:05 PM,3.9,84.25
36,05/15/23 02:19:06 PM,34.1,84.27
37,05/15/23 02:19:07 PM,34.1,84.29
38,05/15/23 02:19:08 PM,4.2,84.33
39,05/15/23 02:19:09 PM,4.2,84.29
40,05/15/23 02:19:10 PM,34.1,84.29
41,05/15/23 02:19:11 PM,34.1,84.33
42,05/15/23 02:19:12 PM,34.1,84.27
43,05/15/23 02:19:13 PM,10.3,84.27
44,05/15/23 02:19:14 PM,10.3,84.25
45,05/15/23 02:19:15 PM,4.2,84.25
46,05/15/23 02:19:16 PM,34.1,84.24
47,05/15/23 02:19:17 PM,4.2,84.25
48,05/15/23 02:19:18 PM,3.9,84.2
49,05/15/23 02:19:19 PM,34.1,84.18
50,05/15/23 02:19:20 PM,4.2,84.16
51,05/15/23 02:19:21 PM,34.1,84.07
52,05/15/23 02:19:22 PM,4.2,84.07
53,05/15/23 02:19:23 PM,4.2,84.07
54,05/15/23 02:19:24 PM,10.3,84.04
55,05/15/23 02:19:25 PM,10.3,84.07
56,05/15/23 02:19:26 PM,3.9,84.09
57,05/15/23 02:19:27 PM,3.9,84.07
58,05/15/23 02:19:28 PM,3.9,84.07
59,05/15/23 02:19:29 PM,3.9,84.07
60,05/15/23 02:19:30 PM,4.2,84.07
61,05/15/23 02:19:31 PM,3.9,84.09
62,05/15/23 02:19:32 PM,10.3,84.13
63,05/15/23 02:19:33 PM,4.2,84.11
64,05/15/23 02:19:34 PM,4.2,84.11
65,05/15/23 02:19:35 PM,10.3,84.11
66,05/15/23 02:19:36 PM,34.1,84.18
67,05/15/23 02:19:37 PM,4.2,84.18
68,05/15/23 02:19:38 PM,34.1,84.16
69,05/15/23 02:19:39 PM,4.2,84.16
70,05/15/23 02:19:40 PM,4.2,84.18
71,05/15/23 02:19:41 PM,4.2,84.18
72,05/15/23 02:19:42 PM,10.3,84.2
73,05/15/23 02:19:43 PM,4.2,84.24
74,05/15/23 02:19:44 PM,4.2,84.25
75,05/15/23 02:19:45 PM,34.1,84.29
76,05/15/23 02:19:46 PM,3.6,84.33
77,05/15/23 02:19:47 PM,1.5,84.33
78,05/15/23 02:19:48 PM,1.4,84.36
79,05/15/23 02:19:49 PM,2.5,84.25
80,05/15/23 02:19:50 PM,34.1,84.27
81,05/15/23 02:19:51 PM,34.1,84.25
82,05/15/23 02:19:52 PM,6.4,84.2
83,05/15/23 02:19:53 PM,10.3,84.16
84,05/15/23 02:19:54 PM,4.2,84.18
85,05/15/23 02:19:55 PM,10.3,84.16
86,05/15/23 02:19:56 PM,15.4,84.16
87,05/15/23 02:19:57 PM,3.9,84.16
88,05/15/23 02:19:58 PM,3.9,84.13
89,05/15/23 02:19:59 PM,34.1,84.11
90,05/15/23 02:20:00 PM,4.2,84.09
91,05/15/23 02:20:01 PM,10.3,84.09
92,05/15/23 02:20:02 PM,34.1,84.07
93,05/15/23 02:20:03 PM,34.1,84.04
94,05/15/23 02:20:04 PM,10.3,84.04
95,05/15/23 02:20:05 PM,10.3,84.04
96,05/15/23 02:20:06 PM,10.3,84.04
97,05/15/23 02:20:07 PM,10.3,84.04
98,05/15/23 02:20:08 PM,34.1,84.02
99,05/15/23 02:20:09 PM,34.1,84
100,05/15/23 02:20:10 PM,34.1,84
101,05/15/23 02:20:11 PM,4.2,84
102,05/15/23 02:20:12 PM,34.1,83.97
103,05/15/23 02:20:13 PM,10.3,83.97
104,05/15/23 02:20:14 PM,4.2,83.97
105,05/15/23 02:20:15 PM,34.1,83.97
106,05/15/23 02:20:16 PM,10.3,83.95
107,05/15/23 02:20:17 PM,34.1,83.93
108,05/15/23 02:20:18 PM,10.3,83.93
109,05/15/23 02:20:19 PM,34.1,83.93
110,05/15/23 02:20:20 PM,10.3,83.95
111,05/15/23 02:20:21 PM,10.3,83.93
112,05/15/23 02:20:22 PM,4.2,83.93
113,05/15/23 02:20:23 PM,34.1,83.93
114,05/15/23 02:20:24 PM,10.3,83.95
115,05/15/23 02:20:25 PM,10.3,83.95
116,05/15/23 02:20:26 PM,10.3,83.95
117,05/15/23 02:20:27 PM,10.3,83.95
118,05/15/23 02:20:28 PM,4.2,83.95
119,05/15/23 02:20:29 PM,3.9,83.93
120,05/15/23 02:20:30 PM,4.2,83.95
121,05/15/23 02:20:31 PM,3.9,83.95
122,05/15/23 02:20:32 PM,10.3,83.97
123,05/15/23 02:20:33 PM,4.2,83.95
124,05/15/23 02:20:34 PM,34.1,83.93
125,05/15/23 02:20:35 PM,34.1,83.95
126,05/15/23 02:20:36 PM,6.4,83.95
127,05/15/23 02:20:37 PM,4.2,83.95
128,05/15/23 02:20:38 PM,34.1,83.93
129,05/15/23 02:20:39 PM,10.3,83.95
130,05/15/23 02:20:40 PM,34.1,83.97
131,05/15/23 02:20:41 PM,34.1,83.95
132,05/15/23 02:20:42 PM,10.3,83.95
133,05/15/23 02:20:43 PM,10.3,83.95
134,05/15/23 02:20:44 PM,10.3,83.97
135,05/15/23 02:20:45 PM,10.3,83.97
136,05/15/23 02:20:46 PM,10.3,83.97
137,05/15/23 02:20:47 PM,502.2,74.07
138,05/15/23 02:20:48 PM,334.1,72.03
139,05/15/23 02:20:49 PM,299.2,71.65
140,05/15/23 02:20:50 PM,300.8,72.3
