,Cond,pH,Lvl_cm,Temp_C,CO2,Cond_corr,Ca,days_since_storm,Dis_R,Q,Staff,Stage,Air_Temp
2013-09-25 13:00:00-05:00,308.366666666667,6.51603333333334,34.8768888888889,16.7557777777778,12983.3333333333,274.581478039388,50.4387421049819,117,0.818137704015583,0.036996812564332,38.7733134377144,0.18998937521444,22.2
2013-09-25 14:30:00-05:00,308.644444444444,6.51725555555555,34.901,16.77,13643.3333333333,274.905309875369,50.5077292195139,117,0.843153705041881,0.037232451349806,38.7740989003327,0.190774837832686,17.5
2013-09-25 16:00:00-05:00,308.977777777778,6.53077777777777,34.9301111111111,16.7477777777778,13680,275.27872648395,50.5872795647299,117,0.842818821876274,0.037516955321207,38.775047246904,0.191723184404022,17.2
2013-09-25 17:30:00-05:00,309,6.503,34.9288888888889,16.744,13803.3333333333,275.375063859459,50.6078026783325,117,0.846894991021274,0.03750501049798,38.7750074308266,0.191683368326599,16.4
2013-09-25 19:00:00-05:00,308.977777777778,6.47184444444445,34.9346666666667,16.7427777777778,13986.6666666667,275.431795220018,50.6198883735409,117,0.853031811446344,0.037561476935052,38.7751956522835,0.191871589783507,15
2013-09-25 20:30:00-05:00,308.922222222222,6.4795,34.8887777777778,16.73,14076.6666666667,275.458794676909,50.6256401694358,117,0.855972030556905,0.037113003117538,38.7737007395584,0.19037667705846,13.6
2013-09-25 22:00:00-05:00,309,6.49065555555556,34.8651111111111,16.7425555555556,14070,275.604683431145,50.6567193997002,117,0.855423863947132,0.036881707904147,38.7729297555139,0.189605693013822,13.3
2013-09-25 23:30:00-05:00,309.111111111111,6.4939888888889,34.855,16.7333333333333,13876.6666666667,275.780359776084,50.6941443924966,117,0.848395742739072,0.036782891639271,38.7726003679643,0.189276305464237,14.45
2013-09-26 01:00:00-05:00,309.166666666667,6.50004444444445,34.8654444444444,16.7404444444445,13726.6666666667,275.906508136355,50.7210182523558,117,0.842481246792202,0.036884965583208,38.772940614444,0.189616551944028,15
2013-09-26 02:30:00-05:00,309.244444444444,6.50397777777779,34.886,16.7474444444445,13383.3333333333,276.052502729596,50.7521200299016,117,0.82966933175908,0.037085855792023,38.7736102484734,0.190286185973408,19.15
